1,0.590909,0.475758,0.475758,0.475758,0.475758,0.590909,0.475758,0.590909,0.475758,0.475758,0.475758,0.475758,0.475758,0.590909,0.590909,
2,0.553306,0.445482,0.571074,0.571074,0.571074,0.665289,0.571074,0.665289,0.445482,0.445482,0.445482,0.445482,0.445482,0.665289,0.665289,
3,0.634523,0.422196,0.541223,0.541223,0.649061,0.630513,0.541223,0.726146,0.422196,0.546304,0.422196,0.546304,0.422196,0.630513,0.726146,
4,0.594144,0.395329,0.624637,0.624637,0.712868,0.697692,0.506781,0.679936,0.527251,0.511539,0.395329,0.628794,0.395329,0.697692,0.775937,
5,0.667936,0.505269,0.579209,0.579209,0.765074,0.752657,0.469924,0.73813,0.488905,0.60035,0.505269,0.583063,0.505269,0.752657,0.719506,
6,0.728311,0.59522,0.537084,0.655716,0.807788,0.797629,0.435748,0.785743,0.581832,0.673014,0.468522,0.540659,0.468522,0.797629,0.667178,
7,0.681964,0.557342,0.502906,0.718313,0.842735,0.834423,0.408019,0.824698,0.657862,0.630185,0.438707,0.624175,0.565154,0.834423,0.624721,
8,0.638567,0.521875,0.470903,0.769529,0.871329,0.864528,0.382054,0.856571,0.615998,0.697424,0.410789,0.692507,0.52919,0.864528,0.692954,
9,0.704282,0.608807,0.446288,0.811433,0.825782,0.88916,0.362083,0.811796,0.583798,0.660968,0.389316,0.748415,0.501528,0.88916,0.656731,
10,0.643457,0.679933,0.407745,0.845718,0.857458,0.909312,0.330812,0.846015,0.659471,0.72261,0.50035,0.683779,0.458214,0.909312,0.719144,
11,0.708283,0.738127,0.515428,0.873769,0.783405,0.925801,0.302242,0.77295,0.602517,0.773045,0.591195,0.741274,0.418641,0.925801,0.770208,
12,0.631016,0.78574,0.459199,0.89672,0.822786,0.939292,0.26927,0.814232,0.536788,0.814309,0.665523,0.788315,0.524343,0.939292,0.811989,
13,0.576519,0.824697,0.557527,0.819276,0.855007,0.95033,0.246015,0.848008,0.621008,0.848071,0.608046,0.826803,0.479058,0.95033,0.846173,
14,0.653516,0.753473,0.509376,0.852135,0.881369,0.959361,0.224768,0.875643,0.567376,0.875695,0.679311,0.858293,0.437685,0.959361,0.874141,
15,0.716513,0.798296,0.430655,0.87902,0.902938,0.96675,0.190031,0.898253,0.47969,0.898296,0.737618,0.884058,0.539924,0.96675,0.897025,
16,0.768056,0.711209,0.383674,0.901016,0.920586,0.972795,0.337298,0.916753,0.427361,0.916787,0.785324,0.787616,0.623574,0.972795,0.915747,
17,0.810228,0.763717,0.341819,0.919013,0.935025,0.866672,0.300502,0.931889,0.380739,0.931917,0.824356,0.826231,0.692015,0.977741,0.931066,
18,0.844732,0.645688,0.288992,0.933738,0.946838,0.890913,0.427684,0.944272,0.493332,0.944296,0.696955,0.857825,0.748013,0.981788,0.9436,
19,0.872962,0.589924,0.264034,0.945786,0.956504,0.910747,0.390747,0.954405,0.450726,0.954424,0.636764,0.883675,0.793829,0.9851,0.953854,
